"","TRTGRP","VISIT","lbtest1","TRTCD","VISITNUM","bign","P25","P75","max","mean","median","min","n","std"
"225","Treatment","MONTH 1","Total Protein (G/L)",2,30,7908,68,72,80,71,71,63,23,4.48
"226","Treatment","MONTH 3","Total Protein (G/L)",2,40,7908,68,74,96,70.8,71,51,7224,4.48
"227","Treatment","MONTH 6","Total Protein (G/L)",2,50,7908,68,74,101,70.9,71,46,6994,4.54
"228","Treatment","MONTH 12","Total Protein (G/L)",2,70,7908,67,73,92,70.2,70,48,6675,4.4
"229","Treatment","MONTH 18","Total Protein (G/L)",2,90,7908,67,73,98,70.2,70,35,6460,4.44
"230","Treatment","MONTH 24","Total Protein (G/L)",2,110,7908,67,73,93,70.2,70,45,6184,4.46
"231","Treatment","MONTH 30","Total Protein (G/L)",2,130,7908,68,73,100,70.4,70,48,6018,4.5
"232","Treatment","MONTH 36","Total Protein (G/L)",2,150,7908,67,73,99,69.9,70,48,5743,4.38
"233","Treatment","MONTH 42","Total Protein (G/L)",2,170,7908,67,72,105,69.8,70,51,3484,4.37
"234","Treatment","MONTH 48","Total Protein (G/L)",2,190,7908,69,71,71,70,70,69,2,1.41
"235","Treatment","TRT END/EWD IP (Combined)","Total Protein (G/L)",2,605,7908,67,73,104,70.3,70,49,5982,4.53
"236","Treatment","FOLLOW-UP","Total Protein (G/L)",2,700,7908,67,73,95,69.9,70,41,1335,4.74
"237","Treatment","END-OF-TREATMENT (Derived) [2]","Total Protein (G/L)",2,705,7908,67,73,104,70.3,70,48,7414,4.63
"238","Treatment","END-OF-STUDY (Derived) [2]","Total Protein (G/L)",2,710,7908,67,73,104,70.2,70,41,7668,4.62
